Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,7,18.909999999999986,17,95,13,23,20,40,19.824999999999985,0.061,2.3789999999999982,1.2199999999999993,18,1,14,1,96,1,17,1,6,0.5,41,5.75,6,L,0.20651041666666664,0.061,0.13994117647058824,1.2199999999999993
1,1,2,0,3,28.608999999999977,19,118,25,36,27,28,30.194999999999975,1.8909999999999987,1.2809999999999993,5.7339999999999955,20,6,3,16,125,6,5,27,5,1,60,5,6,L,0.24155999999999997,0.31516666666666665,0.2562,0.21237037037037035
1,2,3,0,10,13.785999999999989,18,66,94,90,64,91,15.005999999999988,0.488,19.397999999999985,0.7319999999999998,20,3,17,3,73,3,69,3,3,0.5,22,3.25,6,L,0.20556164383561643,0.16266666666666665,0.28113043478260863,0.24399999999999997
1,2,4,0,3,20.129999999999985,18,99,27,33,34,36,22.935999999999982,0.122,6.709999999999995,0.305,20,1,15,2,110,1,32,2,5,1,60,5,6,L,0.2085090909090909,0.122,0.20968749999999997,0.1525
1,3,5,0,6,13.29799999999999,13,68,4,9,27,30,13.35899999999999,11.345999999999991,8.539999999999994,0.366,14,15,14,3,69,41,28,3,6,0,22,5.5,6,L,0.1936086956521739,0.27673170731707314,0.305,0.122
1,3,6,0,1,16.835999999999988,20,89,80,75,81,55,17.201999999999988,1.2809999999999993,0.305,7.319999999999994,20,5,1,15,91,5,1,35,3,0.5,22,3.25,6,L,0.18903296703296704,0.25619999999999993,0.305,0.2091428571428571
1,4,7,0,6,8.600999999999994,15,47,1,3,37,73,10.796999999999992,0.6099999999999999,28.791999999999977,0.122,20,4,16,1,58,4,106,1,6,0,20,5,6,L,0.1861551724137931,0.1525,0.27162264150943394,0.122
1,4,8,0,2,55.997999999999955,17,244,49,56,58,18,56.912999999999954,2.3179999999999983,0.8539999999999996,0.9759999999999995,20,8,4,6,249,12,4,6,4,0.5,30,4.5,6,L,0.22856626506024094,0.19316666666666665,0.2135,0.16266666666666665
1,5,9,0,10,15.249999999999988,16,75,85,93,86,88,16.530999999999988,0.5489999999999999,3.537999999999997,1.2809999999999993,20,2,13,4,80,4,19,4,3,1,36,3,6,L,0.20663749999999997,0.13724999999999998,0.18621052631578947,0.3202499999999999
1,5,10,0,3,19.153999999999986,18,85,31,34,3,35,19.214999999999986,5.062999999999996,9.088999999999993,3.903999999999997,19,8,18,11,86,11,45,13,5,0.5,36,5.25,6,L,0.2234302325581395,0.46027272727272717,0.20197777777777776,0.3003076923076923
2,1,1,0,2,38.30799999999997,18,174,49,58,4,41,41.11399999999997,2.0129999999999986,1.7079999999999989,4.208999999999997,20,6,6,11,183,8,7,17,4,0,19,4.75,6,L,0.22466666666666665,0.251625,0.24399999999999997,0.2475882352941176
2,1,2,0,4,14.090999999999989,18,67,99,20,17,102,15.371999999999987,12.01699999999999,1.9519999999999986,0.122,20,19,5,2,72,63,6,2,2,0,16,4,6,L,0.2135,0.19074603174603175,0.3253333333333333,0.061
2,2,3,0,10,23.66799999999998,20,110,90,91,85,89,24.58299999999998,0.427,0.427,0.7929999999999997,20,2,3,5,114,2,3,5,3,1,36,3,6,L,0.21564035087719297,0.2135,0.14233333333333334,0.1586
2,2,4,0,8,24.82699999999998,18,113,117,110,118,109,26.22999999999998,1.0979999999999994,0.366,1.8299999999999987,20,2,4,5,118,2,4,6,2,1,24,2,6,L,0.22228813559322033,0.5489999999999998,0.0915,0.30499999999999994
2,3,5,0,1,29.645999999999976,17,123,80,84,78,52,29.950999999999976,0.427,3.3549999999999973,3.537999999999997,20,4,11,8,126,4,15,14,3,0.5,22,3.25,6,L,0.23770634920634917,0.10675,0.22366666666666665,0.25271428571428567
2,3,6,0,10,35.562999999999974,18,153,69,90,42,93,38.97899999999997,1.8299999999999987,2.0129999999999986,0.183,20,5,7,1,165,6,8,1,3,0,15,3.75,6,L,0.2362363636363636,0.30499999999999994,0.251625,0.183
2,4,7,0,8,37.14899999999997,20,152,115,120,57,110,38.36899999999997,0.8539999999999996,3.0499999999999976,0.244,20,5,7,1,157,6,9,1,2,0.5,16,2.5,6,L,0.2443885350318471,0.14233333333333334,0.3388888888888888,0.244
2,4,8,0,1,29.584999999999976,17,149,12,84,76,83,33.610999999999976,0.061,0.122,0.305,20,1,2,2,164,1,2,2,3,0.5,24,3.75,6,L,0.2049451219512195,0.061,0.061,0.1525
2,5,9,0,8,29.828999999999976,16,137,15,68,112,114,36.90499999999997,10.125999999999992,4.208999999999997,1.2809999999999993,20,19,13,5,161,52,19,6,2,0,14,3.5,6,L,0.22922360248447202,0.19473076923076924,0.22152631578947365,0.2135
2,5,10,0,2,13.602999999999989,19,63,3,1,87,103,50.44699999999996,0.6709999999999998,0.061,0.305,20,3,1,3,212,5,1,3,4,0,17,4.25,6,L,0.2379575471698113,0.13419999999999999,0.061,0.10166666666666667
3,1,1,0,8,15.920999999999987,18,75,118,115,116,37,18.665999999999986,0.9759999999999995,0.061,14.639999999999988,20,4,1,16,86,5,1,66,2,0.5,17,2.75,6,L,0.21704651162790695,0.19519999999999998,0.061,0.2218181818181818
3,1,2,0,9,25.43699999999998,17,115,72,67,12,65,25.55899999999998,0.5489999999999999,0.7319999999999998,3.476999999999997,19,2,1,13,117,2,1,17,4,0.5,30,4.5,6,L,0.21845299145299144,0.27449999999999997,0.7319999999999998,0.20452941176470585
3,2,3,0,4,25.98599999999998,20,130,100,103,105,101,26.71799999999998,0.122,1.0369999999999995,1.7079999999999989,20,1,5,3,133,1,5,3,2,1,24,2,6,L,0.20088721804511278,0.122,0.20739999999999997,0.5693333333333332
3,2,4,0,10,32.08599999999998,19,158,93,87,89,90,35.623999999999974,0.122,0.122,1.0369999999999995,20,1,1,4,175,1,1,4,3,1,36,3,6,L,0.20356571428571427,0.122,0.122,0.25925
3,3,5,0,8,18.360999999999986,15,84,115,112,111,118,19.397999999999985,1.0979999999999994,0.9149999999999996,0.9759999999999995,20,5,3,4,89,6,4,5,2,1,24,2,6,L,0.21795505617977526,0.183,0.22875,0.19519999999999998
3,3,6,0,10,18.177999999999987,18,85,90,85,16,18,19.397999999999985,2.1959999999999984,12.80999999999999,3.842999999999997,20,10,16,10,90,13,40,14,3,0,18,4.5,6,L,0.21553333333333333,0.16892307692307693,0.3202499999999999,0.27449999999999997
3,4,7,0,6,19.336999999999986,20,96,5,9,8,10,19.763999999999985,1.3419999999999992,1.2199999999999993,13.11499999999999,20,5,6,16,100,5,7,50,6,1,72,6,6,L,0.19763999999999998,0.26839999999999997,0.1742857142857143,0.2623
3,4,8,0,1,12.87099999999999,17,60,76,78,82,101,26.53499999999998,4.818999999999996,0.427,5.062999999999996,20,16,4,11,120,25,4,20,3,0.5,20,2.75,6,L,0.221125,0.19276,0.10675,0.25315
3,5,9,0,7,37.75899999999997,20,179,16,20,13,15,38.30799999999997,0.305,6.221999999999995,2.8669999999999978,20,4,11,8,182,4,27,11,6,1,72,6,6,L,0.21048351648351646,0.07625,0.23044444444444442,0.2606363636363636
3,5,10,0,6,18.909999999999986,19,86,2,12,1,8,21.044999999999984,2.683999999999998,0.5489999999999999,3.903999999999997,20,9,2,11,97,12,2,21,6,1,72,6,6,L,0.21695876288659793,0.22366666666666665,0.27449999999999997,0.18590476190476188
4,1,1,0,8,22.325999999999983,19,102,119,109,31,5,24.15599999999998,1.0369999999999995,7.563999999999994,0.305,20,4,15,1,110,4,31,1,2,0,15,3.75,6,L,0.2196,0.25925,0.244,0.305
4,1,2,0,9,20.068999999999985,20,98,65,71,67,44,24.09499999999998,0.5489999999999999,0.6099999999999999,3.2939999999999974,20,4,4,9,116,4,4,14,4,0.5,29,4.25,6,L,0.2077155172413793,0.13724999999999998,0.1525,0.23528571428571426
4,2,3,0,7,23.85099999999998,19,123,13,60,15,38,27.388999999999978,2.9279999999999977,9.393999999999993,0.9759999999999995,20,13,13,5,135,16,32,6,6,0,21,5.25,6,L,0.20288148148148147,0.183,0.29356249999999995,0.16266666666666665
4,2,4,0,9,25.86399999999998,18,118,69,68,6,33,30.255999999999975,2.3179999999999983,2.2569999999999983,4.879999999999996,20,11,7,17,138,15,9,30,4,0,19,4.75,6,L,0.21924637681159417,0.15453333333333333,0.25077777777777777,0.16266666666666665
4,3,5,0,6,20.434999999999985,19,100,1,12,61,69,20.495999999999984,1.4029999999999991,5.550999999999996,9.881999999999993,20,7,15,15,101,7,30,41,6,0,20,5,6,L,0.20293069306930692,0.20042857142857143,0.18503333333333333,0.24102439024390243
4,3,6,0,7,10.979999999999992,18,52,19,23,20,21,20.312999999999985,1.1589999999999994,0.366,2.0129999999999986,20,6,3,3,88,6,3,4,6,1,72,6,6,L,0.23082954545454545,0.19316666666666665,0.122,0.5032499999999998
4,4,7,0,7,19.946999999999985,19,84,24,23,14,19,22.386999999999983,0.7319999999999998,0.427,5.306999999999996,20,4,2,9,93,4,2,22,6,1,72,6,6,L,0.24072043010752686,0.183,0.2135,0.24122727272727273
4,4,8,0,2,19.031999999999986,16,95,56,59,50,112,19.580999999999985,1.524999999999999,1.524999999999999,5.184999999999996,19,4,6,15,98,5,6,29,4,0.5,26,3.5,6,L,0.19980612244897958,0.30499999999999994,0.25416666666666665,0.17879310344827584
4,5,9,0,10,16.16499999999999,19,68,90,1,7,86,22.020999999999983,11.589999999999991,0.5489999999999999,0.122,20,17,5,1,86,49,6,1,3,0,18,4.5,6,L,0.2560581395348837,0.23653061224489794,0.0915,0.122
4,5,10,0,7,10.613999999999992,16,59,21,16,13,26,12.07799999999999,0.5489999999999999,1.2199999999999993,53.31399999999996,20,2,6,16,65,2,9,235,6,0.5,41,5.75,6,L,0.1858153846153846,0.27449999999999997,0.13555555555555554,0.22686808510638296
5,1,1,0,1,12.62699999999999,13,45,77,79,76,78,13.41999999999999,0.061,0.122,3.0499999999999976,18,1,1,8,50,1,1,14,3,1,36,3,6,L,0.26839999999999997,0.061,0.122,0.21785714285714283
5,1,2,0,10,18.970999999999986,20,81,88,94,26,96,19.641999999999985,3.659999999999997,4.208999999999997,0.244,20,11,12,3,85,18,17,3,3,0.5,23,3.5,6,L,0.23108235294117646,0.2033333333333333,0.2475882352941176,0.08133333333333333
5,2,3,0,7,19.580999999999985,18,85,24,14,23,20,20.312999999999985,4.452999999999997,0.9759999999999995,1.2199999999999993,20,13,2,6,90,24,2,6,6,1,72,6,6,L,0.22569999999999998,0.18554166666666666,0.48799999999999977,0.20333333333333334
5,2,4,0,9,25.92499999999998,19,115,70,67,7,41,28.059999999999977,2.439999999999998,2.561999999999998,3.2939999999999974,20,12,9,10,123,14,12,18,4,0,19,4.75,6,L,0.228130081300813,0.1742857142857143,0.21349999999999997,0.183
5,3,5,0,2,31.841999999999974,19,138,50,84,51,56,33.732999999999976,4.574999999999997,1.463999999999999,0.488,20,11,4,4,148,21,4,4,4,0.5,27,3.75,6,L,0.22792567567567565,0.21785714285714283,0.366,0.122
5,3,6,0,9,17.140999999999988,16,87,71,67,66,31,17.933999999999987,0.7319999999999998,0.427,6.038999999999995,20,2,2,12,91,2,2,24,4,0.5,29,4.25,6,L,0.19707692307692307,0.366,0.2135,0.251625
5,4,7,0,7,21.471999999999984,12,94,13,15,16,18,22.508999999999983,1.0979999999999994,4.269999999999997,0.061,17,4,11,1,100,4,18,1,6,1,72,6,6,L,0.22508999999999998,0.2744999999999999,0.23722222222222217,0.061
5,4,8,0,6,15.615999999999987,15,77,3,1,4,42,15.920999999999987,11.040999999999991,2.439999999999998,0.9759999999999995,18,16,10,1,80,40,12,4,6,0.5,41,5.75,6,L,0.19901249999999998,0.27602499999999996,0.20333333333333334,0.24399999999999994
5,5,9,0,2,26.10799999999998,16,114,56,16,49,20,32.32999999999998,0.8539999999999996,3.9649999999999967,2.1349999999999985,20,4,11,7,132,6,13,9,4,0,20,5,6,L,0.2449242424242424,0.14233333333333334,0.30499999999999994,0.2372222222222222
5,5,10,0,5,23.85099999999998,19,117,48,37,38,43,26.35199999999998,0.061,2.0739999999999985,0.6099999999999999,20,1,8,2,129,1,10,2,5,1,60,5,6,L,0.20427906976744184,0.061,0.20739999999999995,0.305
6,1,1,0,4,17.445999999999987,18,88,105,100,72,103,18.116999999999987,0.8539999999999996,9.332999999999993,3.3549999999999973,20,3,16,13,91,3,41,19,2,0.5,16,2.5,6,L,0.19908791208791207,0.2846666666666667,0.2276341463414634,0.17657894736842106
6,1,2,0,2,18.848999999999986,18,94,51,91,55,58,19.397999999999985,12.26099999999999,3.3549999999999973,1.8299999999999987,20,13,8,11,96,45,9,12,4,0.5,27,3.75,6,L,0.20206249999999998,0.27246666666666663,0.3727777777777777,0.1525
6,2,3,0,4,23.60699999999998,20,102,99,98,51,108,25.19299999999998,2.9889999999999977,5.123999999999996,6.709999999999995,20,10,13,16,108,14,20,29,2,0.5,16,2.5,6,L,0.2332685185185185,0.21349999999999997,0.2562,0.23137931034482756
6,2,4,0,1,20.495999999999984,19,97,84,82,81,76,22.142999999999983,0.305,1.4029999999999991,0.9759999999999995,20,2,5,3,110,3,6,4,3,1,36,3,6,L,0.20129999999999998,0.10166666666666667,0.23383333333333334,0.244
6,3,5,0,8,20.007999999999985,13,85,111,118,115,114,20.312999999999985,0.244,4.086999999999997,1.2199999999999993,15,3,11,5,87,3,17,6,2,1,24,2,6,L,0.23348275862068962,0.08133333333333333,0.24041176470588235,0.20333333333333334
6,3,6,0,10,16.04299999999999,18,78,95,87,66,21,16.22599999999999,3.903999999999997,6.8319999999999945,2.744999999999998,20,9,12,8,80,16,30,12,3,0,16,4,6,L,0.20282499999999998,0.244,0.22773333333333332,0.22875
6,4,7,0,9,22.142999999999983,20,114,64,62,36,17,23.057999999999982,8.051999999999994,4.208999999999997,9.759999999999993,20,16,13,15,120,39,18,35,4,0,19,4.75,6,L,0.19215,0.20646153846153845,0.23383333333333328,0.2788571428571428
6,4,8,0,4,14.578999999999988,18,66,1,106,98,105,25.43699999999998,0.122,2.1349999999999985,1.1589999999999994,20,1,8,5,114,1,9,6,2,0.5,18,3,6,L,0.2231315789473684,0.122,0.23722222222222214,0.19316666666666665
6,5,9,0,8,14.456999999999988,19,76,111,49,112,22,16.591999999999988,2.3179999999999983,0.061,5.672999999999996,20,4,1,12,91,7,1,22,2,0,14,3.5,6,L,0.18232967032967032,0.33114285714285707,0.061,0.25786363636363635
6,5,10,0,6,30.987999999999975,20,132,3,34,30,104,31.048999999999975,10.369999999999992,0.6709999999999998,1.524999999999999,20,18,5,5,133,48,5,5,6,0,18,4.5,6,L,0.23345112781954885,0.21604166666666663,0.13419999999999999,0.305
7,1,1,0,10,35.867999999999974,18,143,89,88,91,86,38.97899999999997,0.6099999999999999,0.6709999999999998,1.0369999999999995,20,4,2,4,156,5,3,4,3,1,36,3,6,L,0.2498653846153846,0.122,0.22366666666666665,0.25925
7,1,2,0,1,32.45199999999998,18,147,81,84,73,16,33.061999999999976,0.7319999999999998,0.7319999999999998,3.2939999999999974,20,4,3,9,150,4,3,11,3,0.5,24,3.75,6,L,0.2204133333333333,0.183,0.24399999999999997,0.29945454545454536
7,2,3,0,8,33.915999999999976,18,153,120,117,116,110,34.525999999999975,1.3419999999999992,0.183,1.8909999999999987,20,4,1,8,155,4,1,10,2,1,24,2,6,L,0.22274838709677416,0.3354999999999999,0.183,0.1891
7,2,4,0,5,30.377999999999975,19,157,47,2,3,61,38.36899999999997,6.709999999999995,0.7319999999999998,0.488,20,17,4,1,196,34,4,1,5,0,21,5.25,6,L,0.19576020408163264,0.19735294117647056,0.183,0.488
7,3,5,0,8,29.340999999999976,19,138,111,120,115,109,29.584999999999976,0.244,2.439999999999998,1.646999999999999,20,1,8,9,140,1,8,9,2,1,24,2,6,L,0.21132142857142855,0.244,0.305,0.183
7,3,6,0,7,24.64399999999998,16,120,14,23,53,24,24.70499999999998,4.208999999999997,8.539999999999994,3.1109999999999975,17,14,16,10,121,19,44,14,6,0.5,40,5.5,6,L,0.20417355371900825,0.22152631578947363,0.1940909090909091,0.2222142857142857
7,4,7,0,2,15.554999999999987,19,87,51,4,55,29,16.16499999999999,12.19999999999999,0.183,7.990999999999993,20,17,2,15,90,57,2,32,4,0,19,4.75,6,L,0.1796111111111111,0.21403508771929822,0.0915,0.24971875
7,4,8,0,1,27.388999999999978,20,137,82,76,23,78,28.730999999999977,3.1109999999999975,2.561999999999998,1.463999999999999,20,8,5,4,145,11,6,5,3,0.5,24,3.75,6,L,0.19814482758620688,0.2828181818181818,0.42699999999999994,0.29279999999999995
7,5,9,0,5,9.942999999999993,19,54,19,14,22,44,22.874999999999982,39.89399999999997,3.903999999999997,0.488,20,19,11,4,104,153,17,5,5,0.5,41,5.75,6,L,0.21995192307692304,0.26074509803921564,0.22964705882352937,0.09759999999999999
7,5,10,0,3,13.29799999999999,17,71,27,2,3,29,14.212999999999989,30.011999999999976,0.305,1.2809999999999993,20,19,3,3,79,109,3,3,5,0,22,5.5,6,L,0.1799113924050633,0.27533944954128436,0.10166666666666667,0.4269999999999998
8,1,1,0,8,15.981999999999987,19,88,4,112,117,28,29.523999999999976,0.061,0.061,0.366,20,1,1,2,157,1,1,2,2,0,15,3.75,6,L,0.18805095541401273,0.061,0.061,0.183
8,1,2,0,2,17.445999999999987,19,93,49,58,54,14,19.702999999999985,1.4029999999999991,0.6709999999999998,4.208999999999997,20,6,4,10,103,7,5,15,4,0.5,30,4.5,6,L,0.19129126213592232,0.20042857142857143,0.13419999999999999,0.28059999999999996
8,2,3,0,8,29.035999999999976,17,123,114,117,34,9,29.157999999999976,2.2569999999999983,1.0369999999999995,3.476999999999997,18,9,3,5,124,10,3,10,2,0,15,3.75,6,L,0.23514516129032256,0.22569999999999998,0.3456666666666666,0.34769999999999995
8,2,4,0,5,42.39499999999997,14,180,41,44,17,14,44.224999999999966,0.061,3.9649999999999967,6.465999999999995,20,1,11,14,186,1,18,22,5,0,22,5.5,6,L,0.23776881720430107,0.061,0.22027777777777777,0.2939090909090909
8,3,5,0,1,15.249999999999988,20,80,78,57,27,80,16.16499999999999,5.001999999999996,3.9649999999999967,2.500999999999998,20,11,11,9,83,20,14,13,3,0,15,3.75,6,L,0.19475903614457832,0.2501,0.2832142857142857,0.19238461538461538
8,3,6,0,5,17.811999999999987,19,78,96,85,113,111,47.45799999999996,0.427,2.561999999999998,0.9149999999999996,20,2,9,4,196,2,12,4,5,0,10,2.5,6,L,0.24213265306122447,0.2135,0.21349999999999997,0.22875
8,4,7,0,1,29.401999999999976,20,130,81,21,117,82,30.621999999999975,3.720999999999997,1.2809999999999993,2.3179999999999983,20,12,3,8,134,15,3,13,3,0,14,3.5,6,L,0.22852238805970146,0.24806666666666666,0.42699999999999994,0.1783076923076923
8,4,8,0,10,61.97599999999995,15,239,68,90,46,37,64.59899999999995,1.3419999999999992,1.2199999999999993,3.781999999999997,20,6,6,13,247,7,7,21,3,0,17,4.25,6,L,0.26153441295546553,0.1917142857142857,0.1742857142857143,0.18009523809523809
8,5,9,0,5,17.567999999999987,20,75,47,46,48,75,19.519999999999985,10.369999999999992,2.439999999999998,0.122,20,16,10,2,84,45,13,2,5,0.5,33,4.5,6,L,0.23238095238095235,0.23044444444444442,0.18769230769230769,0.061
