Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,Cho_0,RT_0,OB_0,AS_0,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4
1,1,1,0,0,0,0,0,77,79,12,1,4.818999999999996,0.6099999999999999,2.0129999999999986,0.9149999999999996,14,4,7,2,24,4,7,2,0,0,18,57,17.933999999999987,18,84,4.5,6,L,0.2106759259259259,0.1525,0.2875714285714286,0.45749999999999996
1,1,2,0,0,0,0,0,96,47,41,95,0.6099999999999999,0.6709999999999998,0.244,1.3419999999999992,4,2,4,6,5,2,4,7,0,0,16,88,58.68199999999995,20,276,4,6,L,0.2110035587188612,0.3354999999999999,0.061,0.1917142857142857
1,2,3,0,0,0,0,0,116,35,30,8,2.439999999999998,0.6099999999999999,1.463999999999999,0.366,10,5,8,2,10,5,8,2,0,0,18,27,18.055999999999987,18,83,4.5,6,L,0.22038709677419352,0.122,0.183,0.183
1,2,4,0,0,0,0,0,100,13,16,88,0.427,5.855999999999995,24.46099999999998,3.9649999999999967,3,12,16,9,3,24,100,11,0,0,17,107,6.709999999999995,14,31,4.25,6,L,0.20991176470588233,0.24399999999999997,0.24460999999999997,0.3604545454545454
1,3,5,0,0,0,0,0,38,4,75,12,4.330999999999997,0.8539999999999996,0.5489999999999999,0.305,17,6,5,3,29,7,6,3,0,0,20,51,5.184999999999996,17,33,5,6,L,0.15348387096774194,0.122,0.0915,0.10166666666666667
1,3,6,0,0,0,0,0,100,65,31,16,0.7929999999999997,0.366,3.1719999999999975,0.061,3,1,13,1,3,1,17,1,0,0,17,97,12.26099999999999,16,53,4.25,6,L,0.23310714285714285,0.366,0.18658823529411764,0.061
1,4,7,0,0,0,0,0,76,102,100,52,1.3419999999999992,0.6709999999999998,0.305,0.244,4,5,1,2,4,5,1,2,0,0,11,12,42.33399999999997,18,183,2.75,6,L,0.23356149732620318,0.13419999999999999,0.305,0.122
1,4,8,0,0,0,0,0,14,24,19,30,3.476999999999997,0.061,7.746999999999994,1.7689999999999988,12,1,17,7,20,1,39,10,0,0.5,41,92,10.674999999999992,18,55,5.75,6,L,0.18869333333333332,0.061,0.19864102564102565,0.1769
1,5,9,0,0,0,0,0,79,101,11,8,5.7339999999999955,2.561999999999998,0.6099999999999999,1.524999999999999,15,13,2,10,26,14,3,10,0,0,17,2,4.208999999999997,12,19,4.25,6,L,0.22095555555555554,0.183,0.20333333333333334,0.1525
1,5,10,0,0,0,0,0,43,40,86,96,0.244,0.122,3.476999999999997,1.2809999999999993,1,2,9,7,1,2,12,8,0,0,16,87,12.87099999999999,18,63,4,6,L,0.20492187499999998,0.061,0.28974999999999995,0.160125
2,1,1,0,0,0,0,0,31,8,65,5,2.0739999999999985,4.818999999999996,0.183,1.1589999999999994,7,13,1,7,8,25,1,10,0,0,21,85,18.848999999999986,17,86,5.25,6,L,0.2225851063829787,0.19276,0.183,0.1159
2,1,2,0,0,0,0,0,47,102,97,57,0.5489999999999999,0.5489999999999999,1.585999999999999,0.427,1,3,6,3,1,3,6,3,0,0,13,74,31.475999999999974,20,151,3.25,6,L,0.2106907894736842,0.183,0.2643333333333333,0.14233333333333334
2,2,3,0,0,0,0,0,4,100,88,6,4.7579999999999965,14.761999999999988,0.5489999999999999,0.244,14,17,3,2,25,53,4,2,0,0,17,90,9.027999999999993,15,41,4.25,6,L,0.20887878787878789,0.2785283018867924,0.13724999999999998,0.122
2,2,4,0,0,0,0,0,14,120,19,33,4.940999999999996,13.785999999999989,0.488,0.6709999999999998,12,17,2,3,22,67,2,3,0,0,19,111,4.574999999999997,11,22,4.75,6,L,0.21627272727272726,0.2057611940298507,0.244,0.22366666666666665
2,3,5,0,0,0,0,0,41,24,22,14,0.7929999999999997,1.7079999999999989,3.598999999999997,4.7579999999999965,3,8,10,11,4,9,21,26,0,0.5,41,73,12.50499999999999,19,64,5.75,6,L,0.19555882352941176,0.18977777777777777,0.17138095238095238,0.183
2,3,6,0,0,0,0,0,2,12,50,90,4.086999999999997,5.428999999999996,1.7689999999999988,2.1959999999999984,11,15,9,9,16,31,11,12,0,0,19,4,9.393999999999993,12,34,4.75,6,L,0.26961999999999997,0.1751290322580645,0.1608181818181818,0.183
2,4,7,0,0,0,0,0,60,43,17,20,0.6709999999999998,0.122,2.744999999999998,0.7319999999999998,4,1,10,7,4,1,12,7,0,0,21,78,14.517999999999988,18,66,5.25,6,L,0.21698571428571425,0.122,0.22874999999999995,0.10457142857142857
2,4,8,0,0,0,0,0,9,69,70,87,1.9519999999999986,1.0369999999999995,0.061,1.524999999999999,8,5,1,8,8,6,1,8,0,0,17,12,18.116999999999987,17,100,4.25,6,L,0.18582407407407406,0.1728333333333333,0.061,0.190625
2,5,9,0,0,0,0,0,75,102,25,36,0.366,2.1959999999999984,1.0369999999999995,6.038999999999995,1,9,2,13,1,10,2,28,0,0,15,5,10.735999999999992,16,50,3.75,6,L,0.2176862745098039,0.2196,0.5184999999999998,0.21567857142857141
